Year,HomeTeam,Goal,AwayTeam,Lost,TotalGoals
1930,France,4,Mexico,1,5
1930,USA,3,Belgium,0,3
1930,Yugoslavia,2,Brazil,1,3
1930,Romania,3,Peru,1,4
1930,Argentina,1,France,0,1
1930,Chile,3,Mexico,0,3
1930,Yugoslavia,4,Bolivia,0,4
1930,USA,3,Paraguay,0,3
1930,Uruguay,1,Peru,0,1
1930,Chile,1,France,0,1
1930,Argentina,6,Mexico,3,9
1930,Brazil,4,Bolivia,0,4
1930,Paraguay,1,Belgium,0,1
1930,Uruguay,4,Romania,0,4
1930,Argentina,3,Chile,1,4
1930,Argentina,6,USA,1,7
1930,Uruguay,6,Yugoslavia,1,7
1930,Uruguay,4,Argentina,2,6
1934,Austria,3,France,2,5
1934,Hungary,4,Egypt,2,6
1934,Switzerland,3,Netherlands,2,5
1934,Sweden,3,Argentina,2,5
1934,Germany,5,Belgium,2,7
1934,Spain,3,Brazil,1,4
1934,Italy,7,USA,1,8
1934,Czechoslovakia,2,Romania,1,3
1934,Czechoslovakia,3,Switzerland,2,5
1934,Germany,2,Sweden,1,3
1934,Italy,1,Spain,1,2
1934,Austria,2,Hungary,1,3
1934,Italy,1,Spain,0,1
1934,Italy,1,Austria,0,1
1934,Czechoslovakia,3,Germany,1,4
1934,Germany,3,Austria,2,5
1934,Italy,2,Czechoslovakia,1,3
1938,Switzerland,1,Germany,1,2
1938,Hungary,6,Dutch East Indies,0,6
1938,France,3,Belgium,1,4
1938,Cuba,3,Romania,3,6
1938,Italy,2,Norway,1,3
1938,Brazil,6,Poland,5,11
1938,Czechoslovakia,3,Netherlands,0,3
1938,Cuba,2,Romania,1,3
1938,Switzerland,4,Germany,2,6
1938,Brazil,1,Czechoslovakia,1,2
1938,Hungary,2,Switzerland,0,2
1938,Sweden,8,Cuba,0,8
1938,Italy,3,France,1,4
1938,Brazil,2,Czechoslovakia,1,3
1938,Hungary,5,Sweden,1,6
1938,Italy,2,Brazil,1,3
1938,Brazil,4,Sweden,2,6
1938,Italy,4,Hungary,2,6
1950,Brazil,4,Mexico,0,4
1950,England,2,Chile,0,2
1950,Spain,3,USA,1,4
1950,Sweden,3,Italy,2,5
1950,Yugoslavia,3,Switzerland,0,3
1950,Brazil,2,Switzerland,2,4
1950,Yugoslavia,4,Mexico,1,5
1950,Spain,2,Chile,0,2
1950,Sweden,2,Paraguay,2,4
1950,USA,1,England,0,1
1950,Brazil,2,Yugoslavia,0,2
1950,Spain,1,England,0,1
1950,Italy,2,Paraguay,0,2
1950,Uruguay,8,Bolivia,0,8
1950,Switzerland,2,Mexico,1,3
1950,Chile,5,USA,2,7
1950,Uruguay,2,Spain,2,4
1950,Brazil,7,Sweden,1,8
1950,Brazil,6,Spain,1,7
1950,Uruguay,3,Sweden,2,5
1950,Sweden,3,Spain,1,4
1950,Uruguay,2,Brazil,1,3
1954,Uruguay,2,Czechoslovakia,0,2
1954,Austria,1,Scotland,0,1
1954,Brazil,5,Mexico,0,5
1954,Yugoslavia,1,France,0,1
1954,Germany FR,4,Turkey,1,5
1954,Hungary,9,Korea Republic,0,9
1954,England,4,Belgium,4,8
1954,Switzerland,2,Italy,1,3
1954,Uruguay,7,Scotland,0,7
1954,Austria,5,Czechoslovakia,0,5
1954,France,3,Mexico,2,5
1954,Brazil,1,Yugoslavia,1,2
1954,Hungary,8,Germany FR,3,11
1954,Turkey,7,Korea Republic,0,7
1954,England,2,Switzerland,0,2
1954,Italy,4,Belgium,1,5
1954,Germany FR,7,Turkey,2,9
1954,Switzerland,4,Italy,1,5
1954,Uruguay,4,England,2,6
1954,Austria,7,Switzerland,5,12
1954,Germany FR,2,Yugoslavia,0,2
